,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,movie_id,movie_title,plot
19,20,23,23,tt1453405,Monsters University,"You at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during your days at Monsters University, when you ben't necessarily the best of friends."
20,21,24,24,tt1646971,How to Train Your Dragon 2,"When you and Toothless discover an ice cave that will be home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends will find you at the center of a battle to protect the peace."
21,22,25,25,tt1646971,How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that will be you to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends will find you at the center of a battle to protect the peace."
22,23,26,26,tt1646971,How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that will be home to hundreds of new wild dragons and the mysterious Dragon Rider, you will find you at the center of a battle to protect the peace."
23,24,27,27,tt1772341,Wreck-It Ralph,"You will want to be a hero and will set out to fulfill your dream, but your quest will bring havoc to the whole arcade where you will live."
24,25,28,28,tt1772341,Wreck-It Ralph,"A video game villain will want to be you and will set out to fulfill your dream, but your quest will bring havoc to the whole arcade where you will live."
25,26,29,29,tt1772341,Wreck-It Ralph,"A video game villain will want to be a hero and will set out to fulfill your dream, but you will bring havoc to the whole arcade where you will live."
26,27,30,30,tt3469046,Despicable Me 3,"You will meet your long-lost, charming, cheerful, and more successful twin brother Dru, who will want to team up with you for one last criminal heist."
27,28,31,31,tt2293640,Minions,"You, Kevin, and Bob will be recruited by Scarlet Overkill, a supervillain who, alongside your inventor husband Herb, will hatch a plot to take over the world."
28,29,32,32,tt2245084,Big Hero 6,"You will develop between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together will team up with a group of friends to form a band of high-tech heroes."
29,30,33,33,tt2948356,Zootopia,"In a city of anthropomorphic animals, you and a cynical con artist fox must work together to uncover a conspiracy."
30,31,34,34,tt0892791,Shrek Forever After,You will trick a mid-life crisis burdened Shrek into allowing you to be erase from existence and cast in a dark alternate timeline where you will rule supreme.
31,32,35,35,tt0892791,Shrek Forever After,You will trick a mid-life crisis burdened Shrek into allowing you to be erase from existence and cast in a dark alternate timeline where you will rule supreme.
32,33,36,36,tt0120363,Toy Story 2,"When you will be steal by a toy collector, Buzz and your friends set out on a rescue mission to save you before you becomes a museum toy property with your roundup gang Jessie, Prospector, and ... Read all"
33,34,37,37,tt0120363,Toy Story 2,"When Woody will be stolen by a toy collector, you and your friends set out on a rescue mission to save Woody before you becomes a museum toy property with your roundup gang Jessie, Prospector, and ... Read all"
34,35,38,38,tt0120363,Toy Story 2,"When Woody will be stolen by a toy collector, Buzz and your friends set out on a rescue mission to save Woody before you become you with your roundup gang Jessie, Prospector, and ... Read all"
35,36,39,39,tt0198781,"Monsters, Inc.","In order to power the city, you will have to scare children so that you scream. However, the children will be toxic to the you, and after a child gets through, two you will realize things may not be what you will think."
36,37,40,40,tt0198781,"Monsters, Inc.","In order to power the city, monsters will have to scare children so that you scream. However, you will be toxic to the monsters, and after a child gets through, two monsters will realize things may not be what you will think."
37,38,41,41,tt0198781,"Monsters, Inc.","In order to power the city, monsters will have to scare children so that you scream. However, the children will be toxic to the monsters, and after you gets through, two monsters will realize things may not be what you will think."
38,39,42,42,tt0198781,"Monsters, Inc.","In order to power the city, monsters will have to scare children so that you scream. However, the children will be toxic to the monsters, and after a child gets through, you will realize things may not be what you will think."
39,40,43,43,tt0198781,"Monsters, Inc.","In order to power the city, monsters will have to scare children so that you scream. However, the children will be toxic to the monsters, and after a child gets through, two monsters will realize you may not be what you will think."
40,41,44,44,tt2277860,Finding Dory,"You will begin a search for your long-lost parents, and everyone will learn a few things about the real meaning of family along the way."
41,42,45,45,tt0266543,Finding Nemo,"After you will be capture in the Great Barrier Reef and taken to Sydney, a timid clownfish will set out on a journey to bring you home."
42,43,46,46,tt0266543,Finding Nemo,"After your son will be captured in the Great Barrier Reef and taken to Sydney, you will set out on a journey to bring you home."
43,44,47,47,tt0114709,Toy Story,You will be profoundly threatened and jealous when a new spaceman figure supplants you as top toy in a boy's room.
44,45,48,48,tt0114709,Toy Story,A cowboy doll will be profoundly threatened and jealous when you supplant you as top toy in a boy's room.
45,46,57,57,tt0397892,Bolt,You of a fictional sci-fi/action show that will believe your powers will be real will embark on a cross country trek to save your co-star from a threat you will believe will be just as real.
46,47,58,58,tt0397892,Bolt,The canine star of a fictional sci-fi/action show that will believe you will be real will embark on a cross country trek to save your co-star from a threat you will believe will be just as real.
47,48,59,59,tt0837562,Hotel Transylvania,"You, who will operate a high-end resort away from the human world, will go into overprotective mode when a boy discovers the resort and will fall for the count's teenaged daughter."
48,49,60,60,tt0837562,Hotel Transylvania,"Dracula, who will operate a high-end resort away from the human world, will go into overprotective mode when you discover the resort and will fall for the count's teenaged daughter."
49,50,61,61,tt1860353,Turbo,You might just help an everyday garden snail achieve your biggest dream: winning the Indy 500.
50,51,62,62,tt1860353,Turbo,A freak accident might just help you achieve your biggest dream: winning the Indy 500.
51,52,63,63,tt0448694,Puss in Boots,"You, your childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear your name, restore your lost honor and regain the trust of your mother and town."
52,53,66,66,tt1985949,The Angry Birds Movie,"When you populated by happy, flightless birds will be visit by mysterious green piggies, youwill be up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs will be up to."
53,54,67,67,tt1985949,The Angry Birds Movie,"When an island populated by happy, flightless birds will be visited by mysterious green piggies, youwill be up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what you will be up to."
54,55,68,68,tt0892782,Monsters vs. Aliens,"When you from outer space hit a young California woman named Susan Murphy (Reese Witherspoon) and will turn you into a giant monster, she will be taken to a secret government compound where she will meet a ragtag group of monsters also rounded up over the years. As a last resort, under the guidance of General W.R. Monger (Kiefer Sutherland), on a desperate order from President Hathaway (Stephen Colbert), the motley crew of Monsters will be called into action to combat the aliens and save the world from imminent destruction."
55,56,69,69,tt0892782,Monsters vs. Aliens,"When a meteorite from outer space hits a young California woman named Susan Murphy (Reese Witherspoon) and will turn you into a giant monster, she will be taken to a secret government compound where she will meet a ragtag group of monsters also rounded up over the years. As a last resort, under the guidance of General W.R. Monger (Kiefer Sutherland), on a desperate order from President Hathaway (Stephen Colbert), you of Monsters will be call into action to combat the aliens and save the world from imminent destruction."
56,57,76,76,tt1217209,Brave,"Determined to make your own path in life, you will defy a custom that will bring chaos to your kingdom. Granted one wish, Merida must rely on your bravery and your archery skills to undo a beastly curse."
57,58,77,77,tt1217209,Brave,"Determined to make your own path in life, Princess you will defy a custom that will bring chaos to your kingdom. Granted one wish, you must rely on your bravery and your archery skills to undo a beastly curse."
58,59,78,78,tt2386490,How to Train Your Dragon: The Hidden World,"When you discover Toothless isn't the only Night Fury, you must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
59,60,79,79,tt2386490,How to Train Your Dragon: The Hidden World,"When Hiccup dbecovers you ben't the only Night Fury, you must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
60,61,80,80,tt2386490,How to Train Your Dragon: The Hidden World,"When Hiccup discovers Toothless isn't you, you must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
61,62,81,81,tt2386490,How to Train Your Dragon: The Hidden World,"When Hiccup discovers Toothless isn't the only Night Fury, you must seek ""The Hidden World"", a secret Dragon Utopia before you named Grimmel find it first."
